Source,Target,Label
4434861,1078777,0
2839275,907102,0
3771147,3569657,0
4541403,1733790,0
1693939,1950202,0
2865086,3031859,0
1281841,3907832,0
525118,4681631,0
2647104,2992267,0
149139,2880783,0
2464343,4039967,0
3619144,2168171,0
1656068,41294,0
550248,1267068,0
2812883,2924000,0
1466333,2977196,0
682023,2886366,0
105051,3354477,0
3986955,3163233,0
388987,3411479,0
1268925,1481883,0
3920238,1187383,0
4533347,2829346,0
827937,1586641,0
163225,2492241,0
1681442,926068,0
4386386,1165832,0
918162,215618,0
2427510,4061881,0
4466856,3581758,0
3959762,3463357,0
1364982,3663321,0
3471930,1472395,0
3393226,1587997,0
2148976,1768950,0
1534105,1677135,0
2494122,2732369,0
2701783,3241454,0
4126555,2051460,0
4454875,3602351,0
2865208,1775758,0
4789373,623695,0
3856848,1747862,0
3136734,1536350,0
1955009,3865997,0
1899701,4446685,0
4356567,1362852,0
2184983,4831442,0
3576744,1726061,0
3824634,4074280,0
2782147,1980184,0
2301772,1257644,0
3590098,547181,0
232792,3962392,0
494607,714608,0
557070,3878344,0
753558,4207779,0
3505233,4688479,0
2593670,2684619,0
4200994,204186,0
3981531,167575,0
902986,834946,0
2175615,2647930,0
263227,2551692,0
4623884,3934618,0
3843670,2765667,0
1442243,531347,0
387382,3269420,0
4218287,4589227,0
3278361,2862147,0
4047113,4505327,0
1406818,730096,0
469438,2342133,0
1442218,3241232,0
4728265,1946807,0
4170150,1816357,0
2039498,1735755,0
1653245,1918255,0
752180,729051,0
3603601,1302144,0
3306787,938768,0
3578215,4252690,0
4581572,4505874,0
1549885,3901223,0
2669294,859316,0
4616202,2433677,0
4238326,1283891,0
669712,3015486,0
1784902,1132737,0
2161819,842021,0
2648477,1386728,0
956473,581073,0
3997588,2049825,0
4460110,1925991,0
1527487,744886,0
173869,4659437,0
3138562,3530633,0
4079840,556806,0
2667346,1183330,0
2366734,2084584,0
2723851,4052870,0
1475646,2187850,0
4154727,4475971,0
2085415,1138191,0
2061806,4373065,0
3616000,4461609,0
1315227,2499848,0
1035835,2067564,0
4692685,3346281,0
224542,1790215,0
1297916,2990115,0
3932852,1979922,0
2166938,4670324,0
1409322,2274690,0
3500155,1668317,0
2317129,2086448,0
1366392,34209,0
3158940,2845618,0
3358063,3495005,0
1933329,4682771,0
819444,1192823,0
2141662,3282517,0
3279047,4067578,0
61206,1882158,0
2367024,4387426,0
4749209,4349900,0
904415,2426477,0
3082134,1995505,0
4726805,1315028,0
864698,4109436,0
4467704,3368328,0
587546,993255,0
4569410,3771354,0
407204,2444765,0
3550690,2982787,0
2186703,4160176,0
973405,2159556,0
90000,1976666,0
1642164,1235298,0
277052,1884807,0
1220853,1914180,0
3175984,4388995,0
371219,3516212,0
3125263,540367,0
779192,3578322,0
4690630,554976,0
1277513,985910,0
168547,3473716,0
3174175,624301,0
2453203,3087177,0
628748,229015,0
886271,545924,0
2390360,966400,0
4393697,4242443,0
1146748,806267,0
3144909,4418272,0
760965,3045079,0
1457819,1675334,0
2165055,91343,0
2708746,2135498,0
684645,3013646,0
1039129,4771377,0
2201240,1525915,0
4673456,4368188,0
780602,4781550,0
512103,1792509,0
720535,1739501,0
4580833,4402030,0
869970,4813787,0
2622551,1799617,0
2697671,2191702,0
935469,3809043,0
2617505,2539578,0
2152223,1661977,0
3304884,1584949,0
2147588,3839337,0
2009201,1322667,0
2764310,1796630,0
3572695,760277,0
3846307,54554,0
4246143,4402877,0
2484474,507224,0
2067000,1396763,0
4497557,850930,0
1110587,2856839,0
3991040,155495,0
2986622,2449645,0
4569071,535806,0
4844409,3458447,0
753799,4771376,0
2823095,762619,0
3756962,789784,0
1028910,1154155,0
1945546,2958211,0
4451907,1100367,0
126960,1251214,0
2907578,4177602,0
4658997,2147374,0
2565614,3520407,0
3972806,2898412,0
1729954,1464592,0
3402926,3946166,0
3418825,221630,0
2554056,3541489,0
4808811,4547748,0
3582111,3649616,0
787018,2240963,0
509590,4360339,0
4126995,3428783,0
2390031,1766203,0
3799799,545371,0
3545752,3412818,0
4466605,1079882,0
2121379,3823494,0
2712262,2577688,0
3411040,7241,0
2409184,3157169,0
1386056,234593,0
2218251,2154491,0
4428102,3701020,0
545924,747003,0
4305069,882657,0
1001672,3639959,0
2546909,2523156,0
283651,2448318,0
625960,3791844,0
1173913,3487919,0
561818,2590253,0
625132,1563921,0
2479894,3112787,0
3334027,2696820,0
2986072,1501350,0
329443,2704152,0
325923,1126453,0
841045,3524330,0
1047769,2666280,0
160891,306612,0
3135209,1665741,0
3388901,411684,0
2597181,1921189,0
3487386,4791136,0
522007,1422619,0
3535079,949,0
4092118,4101013,0
1550050,3165451,0
3524462,322572,0
4033387,4095382,0
1178734,2204531,0
4787416,2090043,0
2678456,2379317,0
3872884,3717648,0
4123053,3909541,0
2464127,2042197,0
1504770,3186782,0
4793056,2196784,0
2870427,1014748,0
378061,4854365,0
3151767,4513472,0
1889421,2821205,0
952517,2363842,0
2906573,2814012,0
3439995,4738900,0
3081468,1562016,0
3535386,1332377,0
4745781,2310385,0
3155990,3335110,0
2765517,3959236,0
3391281,1379882,0
2577455,2407525,0
2841781,3302274,0
435562,1184920,0
469845,574480,0
2451542,2325883,0
3998116,4094871,0
4426048,1749799,0
3631255,1274711,0
3506398,1803627,0
104232,2507274,0
4368269,3730679,0
4226378,2776884,0
1779345,350423,0
2116766,1340875,0
2552446,2296165,0
3158393,2660601,0
4324989,787904,0
443538,4438421,0
3375548,113778,0
911081,1965902,0
81501,241038,0
740903,1871269,0
2597873,3763531,0
253373,1960485,0
260173,1869648,0
1469454,2749286,0
1504625,1183079,0
3190824,1490417,0
2833532,3374634,0
2683782,425588,0
568519,653133,0
1008080,1870647,0
608870,3807909,0
95584,4421195,0
2523202,4816683,0
4288058,2773108,0
2262244,2156387,0
21512,1652304,0
757687,4260328,0
1569789,3931843,0
4145584,2404799,0
3449778,1524947,0
2481533,3264558,0
2595410,4560080,0
4086017,745189,0
2851801,1490558,0
4305852,3205209,0
2265006,3566130,0
2433609,3412722,0
1707445,363541,0
614439,2509444,0
318790,4245806,0
4707668,4628991,0
2942668,1857034,0
2264144,257761,0
3155346,1803076,0
3468315,128690,0
3116583,2797408,0
476563,4505349,0
1250272,3073963,0
4614693,1478539,0
4586997,3694576,0
1954662,4625388,0
3405288,4679908,0
3323122,4228702,0
555694,3310857,0
3623152,1939739,0
2280429,951968,0
674591,4182448,0
2546735,1703066,0
4627581,2768063,0
3637276,4372503,0
4000168,416634,0
567565,3185252,0
1556629,4122210,0
2694707,4630829,0
3381981,3402251,0
3981309,3124203,0
512758,1561304,0
458828,2865981,0
4342595,2720032,0
3675421,2411532,0
1766736,3903193,0
2832241,2646666,0
2992794,2545684,0
2845439,3938084,0
2880136,3522178,0
1673408,3105814,0
972238,766158,0
1816369,4105235,0
3980454,3533642,0
3770418,4604758,0
4861885,1061952,0
4654249,1769073,0
3822201,1254862,0
2760328,3369113,0
742725,1422500,0
306456,2385887,0
114050,1597670,0
2945575,4421791,0
4537566,2568981,0
1495465,3934414,0
1638769,3424342,0
3571023,4158167,0
1517019,3984823,0
909466,1023072,0
4364113,4468819,0
862607,920377,0
1596460,786810,0
4453318,3313560,0
126940,1358480,0
3628094,839187,0
2116349,4461508,0
3666114,903105,0
1904294,2998393,0
3040424,2690678,0
266215,1525089,0
2519285,2108251,0
4319447,1768723,0
1364658,285257,0
2233933,3848032,0
4248835,1166692,0
815391,4210656,0
2883201,2299826,0
1494567,2124228,0
579385,4428291,0
417121,363059,0
4779350,3147556,0
3505533,110107,0
3924598,3195558,0
3617365,1709103,0
3469723,3722944,0
3751007,4101502,0
864907,417554,0
4608361,334745,0
703038,3497965,0
4106560,1422018,0
2856253,196422,0
4321098,4130888,0
4156448,3553903,0
3879875,1604032,0
2883088,3698225,0
3004553,4689722,0
1576726,618736,0
2052576,2139876,0
2851153,3652305,0
2783912,4439634,0
4691081,3359703,0
2022748,2840385,0
4707695,4616814,0
1277783,4500364,0
4708328,936676,0
3968509,1815426,0
4674074,282896,0
3866114,2120090,0
322962,1342445,0
2675016,53859,0
3597287,1816031,0
733518,2830820,0
3462345,1354493,0
4280124,318369,0
2983680,3650328,0
1500495,977315,0
2142913,3207756,0
196894,85470,0
790935,3658003,0
2987415,3854808,0
2207670,1033629,0
4321566,4133049,0
3755576,3943937,0
3370065,831215,0
6008,915462,0
1041099,569912,0
1589142,172178,0
1144667,409291,0
3297930,3723335,0
502091,271972,0
3613278,589986,0
4466553,1853570,0
2942475,578794,0
2039313,4580884,0
1669902,2961565,0
1668554,718691,0
812861,1453166,0
852009,2890909,0
459617,4123976,0
2788496,1639037,0
3581761,2390233,0
2009830,2702482,0
3072947,289559,0
1196893,1642771,0
1830772,3240555,0
4661507,2166014,0
3167346,2514922,0
3118314,721905,0
1608398,3983959,0
2075436,1048916,0
3955777,4209371,0
1567586,2098644,0
955191,4307879,0
237744,4359378,0
