Source,Target,Label
2555254,3508656,0
1493265,140564,0
1866018,2863964,0
2800433,4814012,0
1687824,361576,0
3550076,4495862,0
4457821,2201848,0
599099,4014140,0
4340121,1215588,0
3136843,367328,0
1419012,2854989,0
3917997,1357628,0
4131370,3384542,0
481839,2229046,0
4099399,1004929,0
511158,3135173,0
414529,3692338,0
1673673,832339,0
1862122,4680431,0
795819,4127292,0
766697,2112684,0
2646895,1487277,0
2477683,3985848,0
3556761,4622138,0
3737380,4833769,0
1431412,2222871,0
2460645,3598129,0
3135122,3592776,0
2543670,550688,0
2957974,3233980,0
3427813,1008486,0
1589318,3570019,0
2506031,4568113,0
1622952,3013996,0
574306,425404,0
4471509,3698087,0
2663536,4431243,0
171578,4152998,0
3722701,4838549,0
1243947,2575025,0
4328605,2810474,0
2848338,1784052,0
3006091,1153103,0
3827833,4693777,0
3764989,2627615,0
1902016,1024448,0
1944972,3448710,0
382311,3221201,0
3396809,2291433,0
1653709,141350,0
4051571,1225316,0
4328272,2194131,0
2300312,2714548,0
937948,4090548,0
2734579,2741902,0
4865697,81620,0
1131946,1615724,0
3558021,453314,0
3004242,4571855,0
3772995,2702470,0
1357629,4525970,0
1634720,1301826,0
1044499,2227287,0
3165745,1344873,0
1703537,701259,0
2778514,1000651,0
733225,1804854,0
3925699,4817691,0
4071994,4301094,0
3709683,2998875,0
3618293,2905098,0
1088554,865644,0
2647495,4233228,0
1757100,2112755,0
196641,2022560,0
1958136,415056,0
728604,2342272,0
746723,4651533,0
3248265,3418350,0
18677,2009974,0
3412163,2841434,0
4790102,3226716,0
2437213,2499403,0
52900,1073147,0
730008,1183934,0
2575233,1002569,0
3227815,2451511,0
902915,3765199,0
658559,4424509,0
3342673,647286,0
4192568,922403,0
3867391,3325484,0
3351335,4789735,0
4572874,3918994,0
3411176,2838538,0
3688498,3480160,0
1715809,1173435,0
4800959,3916961,0
4293728,2228115,0
3994823,4008568,0
1296405,288841,0
1497040,2391272,0
2349190,1908897,0
22485,564652,0
1846326,844966,0
4001195,1052306,0
1884272,2373777,0
2608205,4772308,0
1784969,4291609,0
344297,1169272,0
4164905,2638564,0
1954383,611043,0
1587894,4766476,0
1991685,382097,0
3311458,2147429,0
3806838,1208127,0
4839641,4685191,0
2090078,356679,0
2659257,3291938,0
823436,76256,0
3731614,156486,0
3884858,1816732,0
2443963,4854590,0
895414,565495,0
3065007,3265226,0
2544351,360323,0
542899,3618392,0
1177684,1219131,0
3261138,2130075,0
3336609,2216918,0
3388303,856116,0
2766085,4296164,0
3280040,1904962,0
3746708,2979255,0
2124905,2689605,0
339694,4649025,0
3364,905057,0
2002327,1727439,0
4215786,3128633,0
3246050,1404693,0
3778836,1721093,0
908593,4240692,0
3019924,2972925,0
1428894,4259339,0
2758338,4230003,0
1433750,1119936,0
732616,2239216,0
1396239,3867208,0
3756206,1537666,0
3047860,2233388,0
4165716,1863077,0
1958092,1981378,0
2979069,1845885,0
2815049,2714510,0
3186228,4297995,0
3768108,3943642,0
3547332,3701299,0
940632,151765,0
1180686,1459847,0
1788022,3281528,0
600648,3627915,0
4038152,941613,0
2769102,2267145,0
497159,245166,0
2930248,4782589,0
4738230,1816761,0
538977,765217,0
3958071,4615532,0
3115500,1487509,0
2641175,1650696,0
3354271,2683321,0
4511242,2256054,0
299582,115104,0
1473667,2138345,0
1045835,1760453,0
4589656,1983588,0
2311517,2399091,0
1711772,3043771,0
4652045,4287449,0
703999,51888,0
4865431,1778270,0
2846150,1249554,0
2107943,796610,0
1753046,2726468,0
3220660,1132811,0
4590277,662793,0
2890366,3865665,0
4505536,164590,0
4754391,2422429,0
4669901,2795106,0
1162039,312076,0
762136,3673972,0
3960838,3110672,0
3769516,4435909,0
2367716,1428213,0
1821859,536298,0
830403,4011220,0
2364421,3523010,0
2580774,2613450,0
2736394,1739681,0
402900,4617507,0
395263,1259080,0
4200151,2071616,0
2878062,3385957,0
1191224,925661,0
2424175,3168763,0
1550672,2823117,0
4521488,1626420,0
324173,1440697,0
4649247,1158500,0
2183731,2710647,0
4234773,1450125,0
753116,309112,0
542897,1730941,0
2507232,193400,0
4343006,2010658,0
571427,2557162,0
2814373,2229870,0
482314,4612750,0
1749232,1971205,0
2000551,4682517,0
2212674,3665831,0
3336506,4526973,0
3127186,3627390,0
2509349,122218,0
2905590,147938,0
874899,475656,0
4180864,383602,0
2887382,4389597,0
2934353,3713470,0
3710254,2208612,0
1904838,2233612,0
2306178,4399447,0
2228965,1716676,0
4322131,1628765,0
913538,2882459,0
509816,588417,0
1357021,4217489,0
2096523,3391380,0
1797099,2891964,0
3553533,4658462,0
1064360,2734742,0
922868,3792378,0
227057,3620018,0
1405401,1938134,0
4192512,4729275,0
253890,3026858,0
2022666,3831065,0
3429127,4031344,0
673050,532546,0
4378704,3819533,0
779282,3603159,0
3748073,1904776,0
4159587,2781092,0
16977,4042003,0
1265199,2123392,0
4342885,4857147,0
3105142,1108903,0
757761,4412036,0
364644,3978817,0
3833494,2725842,0
2273860,3986761,0
2312890,2188445,0
3530220,2695853,0
224752,3168711,0
4669205,2158191,0
1093643,910744,0
2783383,4188393,0
2415722,1904605,0
2647046,3139375,0
1130474,1615593,0
3012053,3813973,0
240225,234067,0
1934203,3539552,0
3520159,4707537,0
4122722,2760000,0
173434,4822988,0
2081196,4546581,0
4798204,4620123,0
3189449,1411580,0
3464516,570350,0
4672111,528091,0
2687681,3581770,0
2767555,2846595,0
2192367,1160964,0
66821,4733589,0
2740461,3468244,0
341584,2705235,0
3573243,466457,0
234051,1543684,0
2309790,354728,0
978736,4594114,0
3793242,4348674,0
1787704,4767764,0
2835153,317080,0
4193757,3868977,0
1002610,1679887,0
2337644,2954829,0
2173881,1214324,0
1926250,3632411,0
3206733,3947412,0
2987861,4552402,0
2301051,2044001,0
1940532,3469004,0
2632995,3357029,0
25552,2672316,0
3871867,2381004,0
4195620,1527055,0
3628530,1499938,0
1136741,1603156,0
1261218,1680759,0
2668553,3515339,0
4838802,4732983,0
3144656,1266386,0
4198594,2265467,0
118419,3649722,0
4471290,38379,0
2562292,1815221,0
2807771,702382,0
3744453,1241031,0
4677539,3835824,0
3688494,58580,0
3810799,1937282,0
4787783,1855319,0
4042641,2444339,0
3089150,477322,0
1850814,602323,0
4042159,1539377,0
1851223,103499,0
828164,4747170,0
4249626,999203,0
4812827,3094535,0
4592440,4694100,0
4766817,1393788,0
3811898,3417790,0
2921631,376670,0
2336559,2638029,0
3215690,3436059,0
3648851,1962273,0
2092099,690717,0
2824683,2313278,0
3277165,685298,0
219834,4117412,0
508586,1127804,0
3068727,4790284,0
4866928,4292226,0
4027798,899455,0
1439257,2517403,0
4359488,3222370,0
2717401,321140,0
3125890,2874821,0
1961355,4750559,0
3656562,3553202,0
3308664,528425,0
1017915,2602469,0
1162060,2597616,0
4291151,4188380,0
3361423,4584958,0
2624371,1350689,0
2477319,55982,0
3010166,2206432,0
1416199,334628,0
2820445,4599708,0
2691687,2393331,0
1391621,4073075,0
3983148,1272586,0
176830,141731,0
4732316,2745870,0
3457263,1588876,0
2659064,498544,0
4211009,2370571,0
3463233,2603479,0
2850236,1771810,0
4322713,2328243,0
1822866,2703560,0
1248681,3208104,0
3116975,3234761,0
1393000,1054313,0
166994,1332933,0
3263718,3567261,0
4046878,1517583,0
617219,2046048,0
384032,4025409,0
3842961,152900,0
4363248,2784116,0
3458162,4459821,0
4344426,2864018,0
607050,3962533,0
4815340,2311525,0
4466618,2692310,0
299812,979506,0
4437486,893848,0
2559241,1049056,0
1739350,1202749,0
399864,4748749,0
3017885,276081,0
3166043,4490012,0
1360002,2309140,0
3333805,811026,0
2884133,4075479,0
2644968,1516345,0
4824978,1774736,0
4330731,729342,0
380032,1420421,0
3793352,4276740,0
4780689,2643550,0
3025344,839075,0
2775576,201302,0
4050961,1074347,0
707816,78377,0
394985,4081938,0
3869872,3158331,0
1310806,3026326,0
1762787,1643813,0
2315381,2605543,0
1558792,3407084,0
242480,1189216,0
2655412,3240306,0
1605682,4461822,0
2389383,4231955,0
4003091,4750641,0
2645853,3032749,0
2287609,2236330,0
2474727,988540,0
3154693,130492,0
2145726,3267251,0
4565704,3410580,0
4362258,1866393,0
908700,3796679,0
