Source,Target,Label
845586,2469773,1
1813940,2249185,1
2985587,822882,1
3699211,4661062,1
2527326,2679821,1
4684600,505848,1
1012499,2354623,1
2197702,2813533,1
906759,4453751,1
4065542,1789544,1
4007842,4198430,1
51455,4593841,1
1495587,3789924,1
4490999,3503829,1
4564619,1550291,1
1699583,2787535,1
2035167,2906016,1
2506958,2329880,1
1363098,3461574,1
839861,572319,1
314520,3022168,1
1113816,3465567,1
4684600,793462,1
1460287,2021676,1
16819,4182170,1
2093179,3639995,1
3238736,213841,1
314520,368381,1
3244411,2102154,1
1316949,291990,1
1279232,221345,1
3614903,660014,1
839876,3803061,1
238286,4144009,1
4531514,4442880,1
367588,4239687,1
33409,3427315,1
3561509,2214264,1
282491,3410819,1
3110985,2143720,1
4814509,4762116,1
266383,3614373,1
4512905,3544441,1
2686745,4299612,1
1811092,2733361,1
1938075,1025315,1
4807353,2469084,1
100831,2028151,1
279069,213435,1
455848,3220030,1
765749,3773569,1
1770388,756356,1
2693864,4551620,1
1338944,1443331,1
1962739,855595,1
1279232,1391446,1
4065542,3489951,1
414574,1033283,1
3534367,147694,1
2100905,1189400,1
2495939,4568960,1
314520,3494921,1
2453780,4765537,1
100831,4798891,1
825245,4426293,1
3911449,272260,1
134467,1549459,1
4751469,2003521,1
977855,1714393,1
1857560,416253,1
1106698,2361121,1
659456,4637220,1
3432594,58901,1
3207853,3600872,1
1699583,4103750,1
417177,2294472,1
2581164,2255422,1
1267797,4802879,1
2598045,3216034,1
3745485,3959665,1
4490999,4039508,1
4670604,3347017,1
2506958,2667772,1
3146897,4353148,1
2445518,979917,1
1031450,2092730,1
2771766,3841370,1
1773706,2218493,1
1699583,2289589,1
3675589,3614029,1
495783,2139284,1
3629784,2538658,1
1077826,2794008,1
2060330,2276269,1
4604853,2907440,1
2228371,3427469,1
3302246,1065725,1
2546793,2884711,1
3902172,3233586,1
3771338,2285783,1
2656028,47279,1
3244411,4000070,1
2121428,92028,1
880976,3846804,1
1612442,3156764,1
1363098,1959629,1
1113816,3906662,1
1960139,140699,1
2228371,3119155,1
728083,2590443,1
1279232,4398280,1
314520,3629506,1
4847071,61696,1
1850101,1903425,1
702274,4660679,1
3875036,2784708,1
4565404,4605901,1
2250694,4233316,1
1857560,1543764,1
880976,2845267,1
375079,3583640,1
168604,3373817,1
4561876,4498490,1
3312048,3810503,1
586868,2431567,1
3082190,3200359,1
3245930,260270,1
2271892,967220,1
1482463,415877,1
4739617,2366879,1
3293044,2889762,1
4739617,2760187,1
3750988,2177562,1
292235,529898,1
4770256,743530,1
292235,3546099,1
3005410,2502886,1
2426009,1521765,1
1951065,529818,1
1333816,640366,1
3801345,4079646,1
1215707,4107737,1
2120699,3507135,1
2073405,193860,1
2303579,1226427,1
1221882,1665151,1
1201156,1340843,1
2495939,994268,1
314520,3249461,1
1133479,2602293,1
1554274,580588,1
982340,3452736,1
222426,4806360,1
1363098,1836515,1
2730362,1283648,1
3333280,510022,1
723136,4158552,1
4240863,780305,1
2228371,4174134,1
1113816,4120344,1
2307624,1100473,1
275748,4570542,1
728604,3101249,1
3719215,3293119,1
2141917,2689760,1
899300,2052448,1
3677294,1221326,1
4645411,1842204,1
4463229,180087,1
1358447,3402875,1
1699583,2051812,1
2959726,4275896,1
4302374,1442444,1
1711122,1024913,1
1484793,2724858,1
4103375,4004332,1
1471944,2439914,1
2060330,4767257,1
3196696,3180792,1
2443515,3331069,1
1505241,3320337,1
1699583,1769828,1
750228,2702862,1
4769748,2224409,1
826086,4744590,1
905884,3869219,1
314520,1953759,1
4273701,451625,1
2303705,2625211,1
4716878,2828209,1
1796884,2912065,1
1468744,4306798,1
750264,547966,1
1367220,4467402,1
3207853,1957118,1
2985587,967364,1
3229492,4413927,1
3558819,2020942,1
2151290,718053,1
4283288,1335006,1
1233685,1897728,1
8400,3284541,1
630167,2241966,1
1441108,3826821,1
1085861,1781009,1
314520,4511068,1
314520,4813836,1
2565704,1992597,1
314520,3778207,1
2230208,4288727,1
3778630,869684,1
4684600,2637999,1
2060330,336691,1
438617,1898977,1
2060330,880164,1
2565704,2242655,1
1699583,936585,1
1942472,2678918,1
2054082,2734242,1
3165517,138889,1
3019750,3913160,1
134467,588658,1
4572342,3412525,1
3169720,2962529,1
826086,3718847,1
1183923,992582,1
2529968,2541224,1
3312889,1956398,1
3664329,4193857,1
1474014,4726464,1
4837704,1012921,1
4343030,546402,1
2712900,1951352,1
2143656,3325912,1
16819,2826385,1
288702,1125337,1
4124305,2806619,1
1006960,3898923,1
2421787,1029482,1
2836816,4204442,1
3178160,2743549,1
587608,3147696,1
375079,3924380,1
1607975,3980093,1
2228371,3534090,1
3456402,2148627,1
2453215,4210249,1
1085861,3718436,1
4512905,3507943,1
4070684,4546588,1
2248908,2650012,1
3368328,3235343,1
