Source,Target,Label
4143125,20698,1
1933392,793402,1
1225667,358403,1
3239131,2182522,1
4749989,168437,1
1305171,2952014,1
4846570,3884031,1
4298737,3763648,1
3762269,2105778,1
3615182,2512352,1
1603902,1268589,1
2292144,1980527,1
3983572,3327225,1
2030972,4026579,1
275819,3099672,1
4245084,314520,1
3551506,2451,1
443258,173610,1
3764001,1134295,1
3162201,2425406,1
4294812,3905910,1
2240060,95144,1
2538371,2067869,1
4146325,3280290,1
1698569,217606,1
1482319,3282672,1
3732754,3001279,1
4034554,678574,1
288392,3682979,1
3559962,4696090,1
3277572,1699583,1
3498745,3831398,1
4265685,2187796,1
3910493,2791255,1
2181526,1310340,1
1072194,991947,1
1661129,3228736,1
3576664,539808,1
1571280,843624,1
2423609,3346266,1
2347934,283701,1
902155,843624,1
4407748,2141011,1
1619014,4540847,1
1689442,3088604,1
781813,1772029,1
2377731,973008,1
3801753,4627371,1
538722,3193685,1
1828817,4513357,1
1021762,3619193,1
3671940,2267170,1
1261531,529122,1
1188018,2495603,1
737566,1349053,1
4043702,517810,1
2375486,3131642,1
3664348,146747,1
158487,1712203,1
4765079,2255171,1
4032945,2288064,1
2790442,3033346,1
1813754,3475248,1
3063780,3541880,1
4190310,2189967,1
1756828,360242,1
744622,500533,1
1432252,3765710,1
3584120,1262616,1
854358,1925233,1
1871206,752664,1
2034780,4420789,1
4078134,2332753,1
1743358,849427,1
2744457,2493514,1
3742785,2912527,1
3994439,1949691,1
3424680,4724825,1
472431,1475590,1
1819661,473252,1
2711445,2272931,1
4075269,2771274,1
3540806,2468201,1
3689638,1132246,1
74720,2930124,1
4014774,2692457,1
4640268,1378329,1
729781,4052005,1
2537714,3003354,1
3281299,2749842,1
4286214,4671498,1
795081,983449,1
2739558,4651715,1
2600217,3197059,1
4228341,2206491,1
3448838,347033,1
4285611,2209491,1
3050743,2076602,1
2240094,3721246,1
3785548,1282844,1
1484638,473003,1
3390776,609380,1
4494750,4225738,1
4557866,50943,1
3585818,3765770,1
545706,1541399,1
1813951,4760565,1
2229332,1603885,1
4210445,2236164,1
4352650,4679402,1
4726680,2525900,1
1327237,2054136,1
301543,2270296,1
4321381,4238030,1
4364034,2474122,1
4211405,2706065,1
4773037,3121967,1
2543635,2658698,1
3156199,2234112,1
978590,1120512,1
4553721,4021781,1
536799,173500,1
505919,237095,1
255448,3250020,1
793873,4631714,1
905094,2531635,1
2429365,4060846,1
4522612,195480,1
422645,3957109,1
3786067,1880858,1
599863,3502496,1
1196858,3782925,1
2833539,3686676,1
2543734,3876252,1
3302246,719031,1
4062471,930399,1
3837969,4631714,1
4232790,2853635,1
2267493,2137716,1
4185230,936969,1
3302354,1322009,1
975921,1792840,1
3232824,4153992,1
1969600,2795282,1
308413,1333027,1
4010676,4262523,1
1465513,2939161,1
658712,3079962,1
281108,3107561,1
1601916,4351540,1
3564512,3091578,1
2676416,1642956,1
1988907,1564131,1
1066357,4850871,1
2658214,4363163,1
2799660,4556450,1
1215583,2626430,1
2018479,592345,1
1831748,3814178,1
1355967,3008063,1
4489479,394379,1
1500900,4057801,1
2933995,4469924,1
3444398,2235972,1
2558878,23745,1
2790572,4303522,1
2189479,3078077,1
4432805,244789,1
4006389,4636166,1
4480791,2422988,1
1969600,925262,1
1933392,38633,1
471442,4401500,1
2820031,2982520,1
1920185,10469,1
36181,2871668,1
1032782,4479154,1
4752543,496827,1
2810095,1230966,1
4845789,417956,1
3271839,2733880,1
3397329,423791,1
2067044,1053190,1
4538700,1220374,1
606568,3459033,1
2348693,4327997,1
813753,4322787,1
1102468,1258362,1
324992,2133454,1
1737057,1239877,1
4380953,4265085,1
2836443,4635540,1
1913141,1100290,1
2905591,335440,1
1210689,3609699,1
3048338,4760220,1
3424524,27908,1
619021,2505903,1
2149547,4338550,1
3792374,1572032,1
579736,4548270,1
3800063,3197516,1
1360659,4424012,1
1980081,718575,1
3440025,1877011,1
2139873,3241204,1
989990,4586846,1
3814936,57732,1
4518994,2400695,1
1339750,4759807,1
120812,4330138,1
3806945,1052471,1
2906356,4001080,1
3619925,4477370,1
1757634,2180799,1
3317621,2434724,1
1829215,3445488,1
1646111,749140,1
1855279,2645281,1
4335232,1106698,1
2788343,2018968,1
3783107,574249,1
476371,345878,1
1115652,3323725,1
3136070,3969251,1
425759,2818867,1
3605879,1362309,1
2958356,4469753,1
3686365,3247136,1
1543626,1619595,1
1650881,3826010,1
4091435,1441084,1
4309244,2388961,1
10462,1509498,1
2498511,3183308,1
3800063,231566,1
1140329,1466668,1
683549,394433,1
4392538,1293096,1
1775769,2690863,1
4567573,3204719,1
1246425,1330758,1
2046345,2755698,1
4776529,881356,1
1428298,4061487,1
2864158,3240507,1
3444272,3258041,1
1084257,1757076,1
941507,4701131,1
2256427,1699222,1
4669537,1033412,1
2837702,3356501,1
2149547,1621652,1
3765935,519674,1
4801731,4798874,1
2307099,3240090,1
1773034,3487676,1
401164,2020438,1
4866097,173663,1
126638,2835487,1
1923501,1878891,1
2537210,2281703,1
2652105,4077896,1
4145879,4153931,1
2616029,3818274,1
3510176,4309484,1
1304300,480754,1
2007227,9065,1
4070858,2162429,1
3127798,3244411,1
2555338,2803943,1
2903361,1472945,1
1195155,4016988,1
2116099,2543734,1
4803750,2509455,1
352948,3144219,1
4424807,2767637,1
2224852,924801,1
3294586,4018041,1
1573903,960355,1
1994576,3065997,1
3310365,1924623,1
4671858,1616107,1
4577195,74402,1
1078253,1143578,1
4026388,1627001,1
21571,77770,1
2861631,4067213,1
2746336,4746270,1
753238,3148659,1
3713604,3688952,1
3732649,2685762,1
2175384,4074770,1
2784319,3318521,1
1768219,4713955,1
2240094,4430236,1
3135537,2801382,1
1537713,496827,1
2813553,81986,1
132657,3159692,1
4665115,3277263,1
2584052,1106698,1
2603654,3012089,1
4651012,2228371,1
4428691,2278434,1
4863582,2790599,1
3317320,2441241,1
2047836,441533,1
4825482,2440830,1
3389414,1848384,1
2350689,4032331,1
4756444,3230328,1
3128508,2542095,1
2496325,4718903,1
477010,2305475,1
692689,2214005,1
3405274,4392820,1
2059812,2728325,1
1747687,595973,1
3782659,779685,1
4484232,235286,1
4760465,2006267,1
1652435,3200617,1
2859517,4727269,1
1747188,2546983,1
4616896,3695383,1
558840,3453353,1
2303705,1140625,1
1628833,4277853,1
529336,3930454,1
4281357,2084264,1
2248635,2570254,1
4394108,3777643,1
1075768,2907858,1
326029,250568,1
2344440,755474,1
736296,1854450,1
4735482,567743,1
2410170,3749355,1
2791643,3153825,1
824018,516363,1
406440,2245810,1
635772,4401310,1
4491879,1364366,1
3364505,767633,1
1884472,3577581,1
3171858,4334500,1
2274930,1876616,1
801808,1535335,1
3682129,281541,1
279069,1571367,1
1582061,4816477,1
1758126,2018931,1
1507040,2143208,1
1148998,1868864,1
3662017,2877720,1
1327757,1289084,1
4332774,3632881,1
2102235,2784755,1
1609682,2697732,1
1107132,1553142,1
1991271,2284769,1
1878984,2219016,1
525660,4004132,1
3005929,52980,1
445244,1863448,1
1672209,1505241,1
1041019,984955,1
2258452,1768992,1
2807407,1170287,1
3443679,4336831,1
1056526,2214871,1
597685,293419,1
3094027,4823324,1
154229,443954,1
27101,3486322,1
2157767,917514,1
2505895,4384227,1
3218532,4475272,1
3576271,955482,1
1826815,221718,1
1639501,2180189,1
1946320,4546473,1
3200228,4034501,1
4123222,907324,1
1013685,1827427,1
4469613,4216001,1
3521836,4420057,1
2447867,3533168,1
552120,4093090,1
1541082,2664089,1
1366063,3289048,1
4040050,971299,1
1408457,1449936,1
4145740,4272795,1
2443631,1999495,1
800268,3859524,1
860720,4771095,1
1819661,3432941,1
122153,1105015,1
4108298,4864129,1
90111,3057917,1
135439,247199,1
4754756,710513,1
719555,1799532,1
2563813,2679770,1
776298,152302,1
3788622,610608,1
161829,273978,1
122063,1376941,1
3408999,2846365,1
4640453,1278704,1
2770757,2713401,1
2084819,3615954,1
2344175,4780327,1
980363,3879270,1
1047897,4456654,1
347524,4429553,1
2776836,3458583,1
1111522,2869597,1
441699,4649952,1
4829119,1257785,1
3432116,1303958,1
3743694,2464518,1
888718,1856676,1
4789047,3171837,1
1394135,2289279,1
4009125,1624284,1
1763523,219404,1
4166886,3117708,1
386730,2895107,1
4204424,4600680,1
3988328,1280481,1
2855665,3673214,1
2552939,3720840,1
201302,2381149,1
739659,4804385,1
1821820,4392538,1
673877,507413,1
3350829,3263862,1
4661326,159892,1
3196804,1437673,1
3279927,4459582,1
1004907,1301172,1
1334635,2440606,1
1538802,2499152,1
4737629,4507085,1
1659723,286767,1
4051960,244671,1
4591092,3761618,1
3181976,2686411,1
3643734,1803310,1
2464549,3814978,1
69681,2847844,1
3820825,2713553,1
710398,1638721,1
1226064,3278242,1
1261370,3022562,1
750886,128583,1
520050,244558,1
1359436,3810537,1
2677655,3554302,1
2075064,954187,1
2752973,1867129,1
3800724,3563913,1
376842,4231337,1
3556272,2497787,1
1548684,2443671,1
169024,1223846,1
2058297,2498398,1
4494326,1735161,1
3606883,4843919,1
1043210,1176307,1
627619,4613811,1
2712900,616947,1
1583583,4789763,1
2800085,2587368,1
1935957,3763390,1
4499788,3287647,1
318570,1144885,1
3719463,336212,1
3545730,1251245,1
3957237,3815123,1
1710181,1560698,1
953768,517927,1
3800393,4016551,1
2376118,1724457,1
869495,3382811,1
2347934,729841,1
1620433,2112266,1
4403731,1527113,1
4262056,4144172,1
4601757,4234377,1
2960932,1684764,1
3980944,672190,1
4705550,2628999,1
2566417,1786552,1
1415509,3569302,1
1265374,3851040,1
987325,1504766,1
3618261,2276707,1
4413646,519081,1
1342366,3173072,1
3839584,4597412,1
3509415,1104966,1
2534470,2798863,1
617845,2928378,1
1237206,1672219,1
4699769,2519123,1
1811540,1177711,1
393357,3810537,1
4256557,1841032,1
219920,4507290,1
3860124,2008145,1
4391182,145070,1
2384045,4784076,1
4775680,2622660,1
1450200,1482099,1
3584638,1102409,1
3242217,188254,1
3008637,2677351,1
4441066,396252,1
3132977,908055,1
4421170,4249443,1
2397439,1628437,1
7567,3446429,1
60998,3742569,1
3134747,2914221,1
1203002,585491,1
3544132,4818803,1
140289,4312353,1
2120968,505496,1
3730271,4436723,1
1178212,552628,1
4115932,3679049,1
2034598,4739470,1
2954300,4842305,1
2357041,2312073,1
3894069,4417552,1
1525911,3034663,1
1040239,4158998,1
3693848,260772,1
2145279,1677915,1
2474147,494596,1
1567853,2608624,1
588951,429928,1
4830980,2553447,1
3759503,622422,1
1041019,859679,1
1051687,618937,1
4318918,1782043,1
53849,1523353,1
4257951,58056,1
4371841,2341275,1
93825,1386887,1
2499912,3223296,1
4419962,654065,1
1151359,464727,1
3423314,994985,1
2871896,2773801,1
120245,3220408,1
136936,2854997,1
2471276,363089,1
2485507,3589064,1
495523,2029230,1
4124000,1278090,1
2760544,1274403,1
4461511,2381557,1
954646,2798694,1
1012130,4076225,1
1823789,376228,1
3361990,4745484,1
3940877,391529,1
3820825,1793455,1
3750988,4544453,1
1478115,3809224,1
1272572,2344522,1
2743514,3796600,1
2208865,1927417,1
3195574,4061543,1
247496,919832,1
3061907,1937946,1
3948668,249482,1
3305394,1124554,1
2975592,3775486,1
4121189,1384731,1
3156199,623432,1
3111253,521904,1
827234,4451993,1
1597356,1783497,1
4744044,2088080,1
1950141,362076,1
4492401,4183516,1
299762,1974495,1
495783,3741863,1
4554891,664773,1
2403771,2534616,1
2476152,1106698,1
4070684,3598698,1
4302943,2923913,1
172424,3098369,1
3751817,3759653,1
4048121,1305958,1
4246740,632630,1
1191947,1118221,1
3763685,3278302,1
2892808,2175764,1
564524,1396297,1
1706978,2722265,1
3019750,3915983,1
1304372,1610091,1
3944523,3026187,1
283701,3067897,1
4758230,3303885,1
486451,2521369,1
2444345,1524558,1
2777167,297029,1
1078253,2439804,1
1849192,4265447,1
2212918,1015372,1
2269446,1239664,1
3282847,4595782,1
2706181,630568,1
3511826,4550551,1
4833631,2180300,1
2328400,3428069,1
4648824,1080348,1
975430,974684,1
1035774,3172152,1
3950425,1674805,1
234669,3529455,1
1461533,1115652,1
4182767,4228968,1
631321,2998122,1
2818214,3369932,1
4185162,185443,1
3317320,2186284,1
4356518,2046453,1
3238302,4804679,1
888463,4245366,1
4264195,1110095,1
2460708,380860,1
3350949,2581596,1
3131327,2479100,1
1486903,4574572,1
1213190,1802096,1
4739123,2368911,1
4256899,516565,1
247441,643832,1
692494,2034809,1
912656,3914618,1
1859726,2694505,1
1823789,1393805,1
3687095,4841409,1
1585852,4650646,1
1911905,3942450,1
2703012,2982288,1
788725,587044,1
4469610,3611317,1
3225458,51613,1
1090682,3827438,1
1876897,2021893,1
394332,3183373,1
3591581,3095235,1
2992966,2676285,1
425464,773624,1
2404365,3194195,1
1859997,3866761,1
2034809,4484011,1
951670,3878997,1
3188387,3578763,1
2272041,779534,1
1390256,2279760,1
3750988,3884269,1
178567,1353934,1
2739417,2178920,1
1749043,2722446,1
2712158,2754661,1
3476271,4223830,1
3208921,3712660,1
797247,4307990,1
1292455,1300444,1
622977,4184640,1
1296435,2381524,1
4408127,391931,1
3559714,3086181,1
1749043,2588419,1
1124539,1163573,1
3527931,2343487,1
2307099,1242426,1
3330409,2158733,1
1037745,3096802,1
1561581,4715782,1
2512659,1076804,1
2838867,4522309,1
4129071,256024,1
4448861,4829184,1
4374797,3667113,1
4650090,163954,1
545282,2495832,1
1821934,3253954,1
1111770,3144721,1
3059810,25233,1
3941321,819357,1
3951247,3340999,1
4580313,3860774,1
4825482,1582919,1
642217,50030,1
1026189,2430337,1
2416738,3242733,1
2126828,1073321,1
1181182,3099672,1
4250574,1125833,1
4321458,3858565,1
4058518,1524974,1
3977293,3604072,1
1154582,4168556,1
1032359,1563525,1
2458018,4514220,1
3645395,3290858,1
3679880,4548083,1
3321405,1843722,1
3578763,960800,1
3094363,1806548,1
3896398,2729473,1
1606185,1881137,1
100451,1249375,1
885598,1231379,1
3531345,2836106,1
4009023,2060330,1
252900,2875802,1
4163481,2938584,1
2057886,4413646,1
2712900,550945,1
1039237,3319228,1
2445963,354174,1
1998877,2626852,1
3927688,4733998,1
2986500,995091,1
4212919,206362,1
2960902,451444,1
1580099,2366883,1
2547313,3483287,1
216120,260362,1
4142330,2054084,1
1206322,2170186,1
4411875,1512835,1
4428452,1048692,1
2154350,638963,1
984347,96837,1
2390562,2796234,1
3603353,4299815,1
2790435,4542267,1
4002862,4605397,1
